Observation,Cruise/Field Campaign,Station Number,Station Date(YYYY/MM/DD),Year,Month,Day,Latitude,Longitude,Sector,Ice Thickness (m),Snow Thickness (m),Freeboard (m),Comment
671,OSO08-09,OSO_08_14,20081229,2008,12,29,-72.51,-144.73,Ross,1.5,0.74,-99.9,
672,OSO08-09,40_Fripiat,20081231,2008,12,31,-74.4,-150.6,Ross,1.3,0.7,-99.9,
673,OSO08-09,40,20081231,2008,12,31,-74.4375,-150.643,Ross,1.83,0.7,-99.9,
674,OSO08-09,OSO_08_15,20081231,2008,12,31,-74.44,-150.65,Ross,1.7,0.52,-99.9,
675,OSO08-09,41_Fripiat,20090101,2009,1,1,-75.4,-151.2,Ross,1.05,0.03,-99.9,
676,OSO08-09,41,20090101,2009,1,1,-75.40133333,-151.2311667,Ross,1.25,0.03,-99.9,
677,OSO10-11,1,20101216,2010,12,16,-68.58816667,-102.1416667,Bellingshausen/Amundsen,0.63,0.28,-99.9,
678,OSO10-11,2,20101217,2010,12,17,-69.46116667,-103.0721667,Bellingshausen/Amundsen,1,0.33,-99.9,
679,OSO10-11,3,20101218,2010,12,18,-70.02483333,-106.9436667,Bellingshausen/Amundsen,1.45,0,-99.9,
680,OSO10-11,4,20101219,2010,12,19,-71.0641833,-112.9826833,Bellingshausen/Amundsen,1.9,0.683,-99.9,
681,OSO10-11,5,20101220,2010,12,20,-72.4478,-115.357383,Bellingshausen/Amundsen,1.05,0.365,-99.9,
682,OSO10-11,5,20101220,2010,12,20,-72.4478,-115.357383,Bellingshausen/Amundsen,1.05,0.365,-99.9,
683,OSO10-11,10,20101221,2010,12,21,-72.7725,-114.1713333,Bellingshausen/Amundsen,1.22,0.35,-99.9,
684,OSO10-11,20,20101224,2010,12,24,-72.12133333,-115.6116667,Bellingshausen/Amundsen,1.2,0.48,-99.9,
685,OSO10-11,25,20101226,2010,12,26,-72.9575,-116.9638333,Bellingshausen/Amundsen,1.81,0.52,-99.9,
686,OSO10-11,27,20101227,2010,12,27,-72.185,-118.9583333,Bellingshausen/Amundsen,2.08,0.82,-99.9,
687,OSO10-11,30,20101229,2010,12,29,-72.04166667,-123.1731667,Bellingshausen/Amundsen,0.65,0.31,-99.9,
688,OSO10-11,31,20101230,2010,12,30,-72.1625,-127.0806667,Bellingshausen/Amundsen,1.56,0.4,-99.9,
689,OSO10-11,"31,1",20110102,2011,1,2,-72.2212,-133.2,Ross,0.79,0.12,-99.9,
690,OSO10-11,32,20110103,2011,1,3,-72.80466667,-135.5783333,Ross,1.23,0.15,-99.9,
691,OSO10-11,33,20110104,2011,1,4,-73.42666667,-139.305,Ross,1.65,0.055,-99.9,
692,OSO10-11,41,20110106,2011,1,6,-75.544,-149.2995,Ross,1.38,0.154,-99.9,
693,OSO10-11,43,20110110,2011,1,10,-77.58983333,165.7075,Ross,1.54,0.01,-99.9,
694,SIPEX2,1_Lannuzel_Fripiat,20120926,2012,9,26,-64.4,120.3,Australian,0.64,0.05,-99.9,
695,SIPEX2,2_Fripiat,20120926,2012,9,26,-64.4,120.3,Australian,0.86,0.06,-0.09,
696,SIPEX2,St2,20120926,2012,9,26,-64.44,120.25,Australian,1.2,0.05,-99.9,
697,SIPEX2,2_Nomura_Fripiat,20120927,2012,9,27,-64.4432,120.11,Australian,1,0.24,-99.9,
698,SIPEX2,2_Lannuzel_Fripiat,20121003,2012,10,3,-64.95,121.028,Australian,0.72,0.25,-99.9,
699,SIPEX2,3_Fripiat,20121003,2012,10,3,-65,121,Australian,1.98,0.66,-99.9,
700,SIPEX2,3_Nomura_Fripiat,20121003,2012,10,3,-64.9445,121.03,Australian,1.5,0.6,-99.9,
701,SIPEX2,St3,20121003,2012,10,3,-64.95,121.028,Australian,1.2,0.25,-99.9,
702,SIPEX2,3_Lannuzel_Fripiat,20121006,2012,10,6,-65.1,121.7,Australian,0.92,0.3,-99.9,
703,SIPEX2,St4,20121006,2012,10,6,-65.078,121.672,Australian,0.9,0.3,-99.9,
704,SIPEX2,4_Fripiat,20121008,2012,10,8,-65.1,121.7,Australian,0.94,0.63,0.04,
705,SIPEX2,4_Nomura_Fripiat,20121008,2012,10,8,-65.1293,120.758,Australian,0.82,0.53,0.04,
706,SIPEX2,4_Lannuzel_Fripiat,20121012,2012,10,12,-65.3,119.9,Australian,1.43,0.74,-99.9,
707,SIPEX2,St6,20121012,2012,10,12,-65.29,119.92,Australian,1.36,0.74,-99.9,
708,SIPEX2,6_Nomura_Fripiat,20121013,2012,10,13,-65.255,120.017,Australian,1.95,0.66,-99.9,
709,SIPEX2,6_Fripiat,20121014,2012,10,14,-65.3,119.9,Australian,1.3,0.14,0.05,
710,SIPEX2,5_Lannuzel_Fripiat,20121019,2012,10,19,-65.3,119,Australian,0.8,0.35,-99.9,
711,SIPEX2,St7,20121019,2012,10,19,-65.26,119,Australian,0.82,0.35,-99.9,
712,SIPEX2,7a_Nomura_Fripiat,20121020,2012,10,20,-65.2685,118.948,Australian,1.05,0.66,-99.9,
713,SIPEX2,7_Fripiat,20121021,2012,10,21,-65.3,119,Australian,0.86,0.36,-0.06,
714,SIPEX2,7b_Nomura_Fripiat,20121023,2012,10,23,-65.152,118.367,Australian,1,0.14,-99.9,
715,SIPEX2,St8,20121028,2012,10,28,-64.87,116.83,Australian,0.95,0.45,-99.9,
716,SIPEX2,6_Lannuzel_Fripiat,20121028,2012,10,28,-64.9,116.8,Australian,0.42,0.45,-99.9,
717,SIPEX2,8_Nomura_Fripiat,20121028,2012,10,28,-64.8653,116.808,Australian,1.05,0.28,-99.9,
718,AWECS,AW486,20130617,2013,6,17,-61.526,-0.086,Atlantic,0.06,0,-99.9,
719,AWECS,AW486_Fripiat,20130617,2013,6,17,-61.5,-0.1,Atlantic,0.37,-99.9,-99.9,
720,AWECS,AW488,20130618,2013,6,18,-62.928,-0.006,#NV,0.37,0.02,-99.9,
721,AWECS,AW489,20130619,2013,6,19,-63.901,-0.031,#NV,0.36,0.06,-99.9,
722,AWECS,AW489,20130619,2013,6,19,-63.9,0,#NV,0.36,0.07,-99.9,
723,AWECS,AW493,20130621,2013,6,21,-66.44,0.122,Atlantic,0.52,0.22,-0.005,
724,AWECS,AW496,20130624,2013,6,24,-67.466,-0.021,#NV,0.61,0.22,0.01,
725,AWECS,AW496_Fripiat,20130624,2013,6,24,-67.5,0,#NV,0.61,0.23,0.005,
726,AWECS,AW500,20130703,2013,7,3,-67.949,-6.658,Atlantic,0.85,0.34,-0.14,
727,AWECS,AW500_Fripiat,20130703,2013,7,3,-67.9,-6.7,Atlantic,0.85,0.2,-0.14,
728,AWECS,AW503,20130708,2013,7,8,-67.187,-13.224,Atlantic,0.6,0.17,0.005,
729,AWECS,AW503_Fripiat,20130708,2013,7,8,-67.2,-13.2,Atlantic,0.6,0.17,0.03,
730,AWECS,AW506,20130711,2013,7,11,-67.19,-23.042,Atlantic,0.49,0.15,-0.002,
731,AWECS,AW506_Fripiat,20130711,2013,7,11,-67.2,-23,Atlantic,0.49,0.15,0.03,
732,AWECS,AW506B,20130714,2013,7,14,-67.172,-23.206,Atlantic,0.59,0.14,-0.005,
733,AWECS,AW506B_Fripiat,20130714,2013,7,14,-67.2,-23.2,Atlantic,0.49,0.14,-0.01,
734,AWECS,AW517,20130730,2013,7,30,-63.509,-51.112,Atlantic,0.72,0.35,0,
735,AAV2 2016-17,3,20161227,2016,12,27,-65.29935,109.2414333,Australian,6.5,0.7,-99.9,
736,AAV2 2016-17,5,20170103,2017,1,3,-65.22593333,120.1820167,Australian,3,0.05,-99.9,
737,AAV2 2016-17,6,20170107,2017,1,7,-65.3875449,139.8043675,Australian,1.51,0.15,-99.9,
738,AAV2 2016-17,7,20170109,2017,1,9,-66.26666667,145.8333333,Australian,0.96,0.2,-99.9,
739,AAV2 2016-17,8,20170110,2017,1,10,-67.13333333,145.4666667,Australian,1.42,0.125,-99.9,
740,AAV2 2016-17,9,20170113,2017,1,13,-67.15678333,147.6624667,Australian,1.8,0.4,-99.9,
741,PIPERS,1,20170420,2017,4,20,-68.8,171.96,Ross,0.01,-99.9,-99.9,
742,PIPERS,1,20170420,2017,4,20,-68.8,171.96,Ross,0.08,-99.9,-99.9,
743,PIPERS,1,20170420,2017,4,20,-68.8,171.96,Ross,0.16,-99.9,-99.9,
744,PIPERS,2,20170421,2017,4,21,-69.22,171.99,Ross,0.38,0.046,0.01,
745,PIPERS,3,20170422,2017,4,22,-69.97,172.05,Ross,0.39,0.025,0.035,
746,PIPERS,4,20170425,2017,4,25,-72.87,171.95,Ross,0.92,0.045,0.125,
747,PIPERS,5,20170428,2017,4,28,-74.05,170.9,Ross,0.7,0.02,0.035,
748,PIPERS,6,20170430,2017,4,30,-74.81,168.01,Ross,0.32,0.0175,0.02,
749,PIPERS,7,20170501,2017,5,1,-74.97,166.95,Ross,0.3,0,0.015,
750,PIPERS,8,20170503,2017,5,3,-74.97,166.81,Ross,0.24,0,0.01,
751,PIPERS,9,20170503,2017,5,3,-74.88,166.62,Ross,0.2,0,0.015,
752,PIPERS,10,20170504,2017,5,4,-74.87,166.4,Ross,0.18,-99.9,-99.9,
753,PIPERS,11,20170504,2017,5,4,-74.79,166.45,Ross,0.01,-99.9,-99.9,
754,PIPERS,11,20170504,2017,5,4,-74.79,166.45,Ross,0.1,-99.9,-99.9,
755,PIPERS,11,20170504,2017,5,4,-74.79,166.45,Ross,0.21,-99.9,0.015,
756,PIPERS,13,20170507,2017,5,7,-75.09,164.93,Ross,0.5,-99.9,-99.9,
757,PIPERS,13,20170507,2017,5,7,-75.09,164.93,Ross,0.1,-99.9,-99.9,
758,PIPERS,13,20170507,2017,5,7,-75.09,164.93,Ross,0.04,-99.9,-99.9,
759,PIPERS,13,20170507,2017,5,7,-75.09,164.93,Ross,0.12,-99.9,-99.9,
760,PIPERS,14,20170510,2017,5,10,-74.84,166.27,Ross,0.01,-99.9,-99.9,
761,PIPERS,14,20170510,2017,5,10,-74.84,166.27,Ross,0.05,-99.9,-99.9,
762,PIPERS,14,20170510,2017,5,10,-74.84,166.27,Ross,0.21,-99.9,-99.9,
763,PIPERS,15,20170511,2017,5,11,-74.97,164.01,Ross,0.01,-99.9,-99.9,
764,PIPERS,15,20170511,2017,5,11,-74.97,164.01,Ross,0.04,-99.9,-99.9,
765,PIPERS,15,20170511,2017,5,11,-74.97,164.01,Ross,0.15,-99.9,-99.9,
766,PIPERS,16,20170512,2017,5,12,-75,165.98,Ross,0.24,0.04,0.025,
767,PIPERS,17,20170514,2017,5,14,-75.42,169.12,Ross,0.4,0.02,0.035,
768,PIPERS,18,20170520,2017,5,20,-74.08,179.48,Ross,0.45,0.04,0.035,
769,PIPERS,19,20170521,2017,5,21,-73.31,178.85,Ross,0.34,0.04,0.025,
770,PIPERS,20,20170524,2017,5,24,-72.32,178.81,Ross,0.45,0.04,0.015,
771,PIPERS,21,20170526,2017,5,26,-71.72,178.72,Ross,0.4,0.06,0.025,
772,PIPERS,22,20170528,2017,5,28,-71.07,176.02,Ross,0.46,0.09,0.04,
773,PIPERS,23,20170530,2017,5,30,-70.5,176.43,Ross,0.6,0.15,0.025,
774,PIPERS,24,20170601,2017,6,1,-70.14,175.62,Ross,0.63,0.08,0.015,
775,PIPERS,25,20170602,2017,6,2,-68.66,176.22,Ross,0.67,0.07,0.04,
776,PIPERS,26,20170603,2017,6,3,-67.58,175.84,Ross,0.03,-99.9,-99.9,
777,PIPERS,26,20170603,2017,6,3,-67.58,175.84,Ross,0.01,-99.9,-99.9,
778,PIPERS,26,20170603,2017,6,3,-67.58,175.84,Ross,0.27,-99.9,-99.9,
779,PIPERS,27,20170604,2017,6,4,-66.93,175.87,Ross,0.01,-99.9,-99.9,
780,DML Ecosystem cruise,Ice station 1,20190326,2019,3,26,-68.9135,6.021666667,Atlantic,0.195,0.045,0.01,
781,PS118,PS118_20190222_1,20190222,2019,2,22,-63.7983,-56.3203,Atlantic,2.19,0.15,-99.9,
782,PS118,PS118_20190223_2,20190223,2019,2,23,-64.3531,-56.3845,Atlantic,1.51,0.23,-99.9,
783,PS118,PS118_20190224_3,20190224,2019,2,24,-64.8925,-57.2419,Atlantic,0.9,0.1,-99.9,
784,PS118,PS118_20190226_4,20190226,2019,2,26,-65.3356,-58.0064,Atlantic,1.07,0.14,-99.9,
785,PS118,PS118_20190301_5,20190301,2019,3,1,-65.212,-57.5799,Atlantic,1.99,0.22,-99.9,
786,PS118,PS118_20190302_6,20190302,2019,3,2,-65.4258,-57.9284,Atlantic,1.91,0.15,-99.9,
787,PS118,PS118_20190304_7,20190304,2019,3,4,-64.9777,-57.6797,Atlantic,0.97,0.15,-99.9,
788,PS118,PS118_20190307_8,20190307,2019,3,7,-64.8969,-57.807,Atlantic,0.77,0,-99.9,
789,PS118,PS118_20190312_9,20190312,2019,3,12,-63.9949,-55.6063,Atlantic,2.31,0.1,-99.9,
790,PS118,PS118_20190313_10,20190313,2019,3,13,-63.9149,-55.6765,Atlantic,0.89,0,-99.9,
791,PS118,PS118_20190313_10,20190313,2019,3,13,-63.9149,-55.6765,Atlantic,0.96,0.12,-99.9,
792,PS118,PS118_20190315_12,20190315,2019,3,15,-63.7953,-55.4618,Atlantic,1.32,0.05,-99.9,
793,PS118,PS118_20190316_13,20190316,2019,3,16,-63.6142,-56.1457,Atlantic,0.8,0,-99.9,
794,PS118,PS118_20190321_14,20190321,2019,3,21,-62.7414,-53.0511,Atlantic,1.8,0.17,-99.9,
